pc,next_pc,instr_type,rs1,rs2,reg_rs1,reg_rs2,taken,pred_all,pred_json
20,92,bge,7,6,1,16,0,00000000,00000000
40,72,blt,31,0,0,0,0,00000000,00000000
56,72,bge,30,15,8,12,0,00000000,00000000
40,72,blt,31,0,-1,0,1,00000000,00000000
20,92,bge,7,6,2,16,0,00000001,00000000
40,72,blt,31,0,1,0,0,00000010,00000001
56,72,bge,30,15,5,12,0,00000100,00000000
40,72,blt,31,0,0,0,0,00001000,00000010
56,72,bge,30,15,5,8,0,00010000,00000000
40,72,blt,31,0,-1,0,1,00100000,00000100
20,92,bge,7,6,3,16,0,01000001,00000000
40,72,blt,31,0,2,0,0,10000010,00001001
56,72,bge,30,15,2,12,0,00000100,00000000
40,72,blt,31,0,1,0,0,00001000,00010010
56,72,bge,30,15,2,8,0,00010000,00000000
40,72,blt,31,0,0,0,0,00100000,00100100
56,72,bge,30,15,2,5,0,01000000,00000000
40,72,blt,31,0,-1,0,1,10000000,01001000
20,92,bge,7,6,4,16,0,00000001,00000000
40,72,blt,31,0,3,0,0,00000010,10010001
56,72,bge,30,15,9,12,0,00000100,00000000
40,72,blt,31,0,2,0,0,00001000,00100010
56,72,bge,30,15,9,8,1,00010000,00000000
20,92,bge,7,6,5,16,0,00100001,00000000
40,72,blt,31,0,4,0,0,01000010,01000100
56,72,bge,30,15,1,12,0,10000100,00000001
40,72,blt,31,0,3,0,0,00001000,10001000
56,72,bge,30,15,1,9,0,00010000,00000010
40,72,blt,31,0,2,0,0,00100000,00010000
56,72,bge,30,15,1,8,0,01000000,00000100
40,72,blt,31,0,1,0,0,10000000,00100000
56,72,bge,30,15,1,5,0,00000000,00001000
40,72,blt,31,0,0,0,0,00000000,01000000
56,72,bge,30,15,1,2,0,00000000,00010000
40,72,blt,31,0,-1,0,1,00000000,10000000
20,92,bge,7,6,6,16,0,00000001,00000000
40,72,blt,31,0,5,0,0,00000010,00000001
56,72,bge,30,15,11,12,0,00000100,00100000
40,72,blt,31,0,4,0,0,00001000,00000010
56,72,bge,30,15,11,9,1,00010000,01000000
20,92,bge,7,6,7,16,0,00100001,00000000
40,72,blt,31,0,6,0,0,01000010,00000100
56,72,bge,30,15,4,12,0,10000100,10000001
40,72,blt,31,0,5,0,0,00001000,00001000
56,72,bge,30,15,4,11,0,00010000,00000010
40,72,blt,31,0,4,0,0,00100000,00010000
56,72,bge,30,15,4,9,0,01000000,00000100
40,72,blt,31,0,3,0,0,10000000,00100000
56,72,bge,30,15,4,8,0,00000000,00001000
40,72,blt,31,0,2,0,0,00000000,01000000
56,72,bge,30,15,4,5,0,00000000,00010000
40,72,blt,31,0,1,0,0,00000000,10000000
56,72,bge,30,15,4,2,1,00000000,00100000
20,92,bge,7,6,8,16,0,00000001,00000000
40,72,blt,31,0,7,0,0,00000010,00000000
56,72,bge,30,15,15,12,1,00000100,01000001
20,92,bge,7,6,9,16,0,00001001,00000000
40,72,blt,31,0,8,0,0,00010010,00000000
56,72,bge,30,15,7,15,0,00100100,10000011
40,72,blt,31,0,7,0,0,01001000,00000000
56,72,bge,30,15,7,12,0,10010000,00000110
40,72,blt,31,0,6,0,0,00100000,00000000
56,72,bge,30,15,7,11,0,01000000,00001100
40,72,blt,31,0,5,0,0,10000000,00000000
56,72,bge,30,15,7,9,0,00000000,00011000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,7,8,0,00000000,00110000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,7,5,1,00000000,01100000
20,92,bge,7,6,10,16,0,00000001,00000000
40,72,blt,31,0,9,0,0,00000010,00000000
56,72,bge,30,15,10,15,0,00000100,11000001
40,72,blt,31,0,8,0,0,00001000,00000000
56,72,bge,30,15,10,12,0,00010000,10000010
40,72,blt,31,0,7,0,0,00100000,00000000
56,72,bge,30,15,10,11,0,01000000,00000100
40,72,blt,31,0,6,0,0,10000000,00000000
56,72,bge,30,15,10,9,1,00000000,00001000
20,92,bge,7,6,11,16,0,00000001,00000000
40,72,blt,31,0,10,0,0,00000010,00000000
56,72,bge,30,15,6,15,0,00000100,00010001
40,72,blt,31,0,9,0,0,00001000,00000000
56,72,bge,30,15,6,12,0,00010000,00100010
40,72,blt,31,0,8,0,0,00100000,00000000
56,72,bge,30,15,6,11,0,01000000,01000100
40,72,blt,31,0,7,0,0,10000000,00000000
56,72,bge,30,15,6,10,0,00000000,10001000
40,72,blt,31,0,6,0,0,00000000,00000000
56,72,bge,30,15,6,9,0,00000000,00010000
40,72,blt,31,0,5,0,0,00000000,00000000
56,72,bge,30,15,6,8,0,00000000,00100000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,6,7,0,00000000,01000000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,6,5,1,00000000,10000000
20,92,bge,7,6,12,16,0,00000001,00000000
40,72,blt,31,0,11,0,0,00000010,00000000
56,72,bge,30,15,3,15,0,00000100,00000001
40,72,blt,31,0,10,0,0,00001000,00000000
56,72,bge,30,15,3,12,0,00010000,00000010
40,72,blt,31,0,9,0,0,00100000,00000000
56,72,bge,30,15,3,11,0,01000000,00000100
40,72,blt,31,0,8,0,0,10000000,00000000
56,72,bge,30,15,3,10,0,00000000,00001000
40,72,blt,31,0,7,0,0,00000000,00000000
56,72,bge,30,15,3,9,0,00000000,00010000
40,72,blt,31,0,6,0,0,00000000,00000000
56,72,bge,30,15,3,8,0,00000000,00100000
40,72,blt,31,0,5,0,0,00000000,00000000
56,72,bge,30,15,3,7,0,00000000,01000000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,3,6,0,00000000,10000000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,3,5,0,00000000,00000000
40,72,blt,31,0,2,0,0,00000000,00000000
56,72,bge,30,15,3,4,0,00000000,00000000
40,72,blt,31,0,1,0,0,00000000,00000000
56,72,bge,30,15,3,2,1,00000000,00000000
20,92,bge,7,6,13,16,0,00000001,00000000
40,72,blt,31,0,12,0,0,00000010,00000000
56,72,bge,30,15,0,15,0,00000100,00000001
40,72,blt,31,0,11,0,0,00001000,00000000
56,72,bge,30,15,0,12,0,00010000,00000010
40,72,blt,31,0,10,0,0,00100000,00000000
56,72,bge,30,15,0,11,0,01000000,00000100
40,72,blt,31,0,9,0,0,10000000,00000000
56,72,bge,30,15,0,10,0,00000000,00001000
40,72,blt,31,0,8,0,0,00000000,00000000
56,72,bge,30,15,0,9,0,00000000,00010000
40,72,blt,31,0,7,0,0,00000000,00000000
56,72,bge,30,15,0,8,0,00000000,00100000
40,72,blt,31,0,6,0,0,00000000,00000000
56,72,bge,30,15,0,7,0,00000000,01000000
40,72,blt,31,0,5,0,0,00000000,00000000
56,72,bge,30,15,0,6,0,00000000,10000000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,0,5,0,00000000,00000000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,0,4,0,00000000,00000000
40,72,blt,31,0,2,0,0,00000000,00000000
56,72,bge,30,15,0,3,0,00000000,00000000
40,72,blt,31,0,1,0,0,00000000,00000000
56,72,bge,30,15,0,2,0,00000000,00000000
40,72,blt,31,0,0,0,0,00000000,00000000
56,72,bge,30,15,0,1,0,00000000,00000000
40,72,blt,31,0,-1,0,1,00000000,00000000
20,92,bge,7,6,14,16,0,00000001,00000000
40,72,blt,31,0,13,0,0,00000010,00000001
56,72,bge,30,15,13,15,0,00000100,00000000
40,72,blt,31,0,12,0,0,00001000,00000010
56,72,bge,30,15,13,12,1,00010000,00000000
20,92,bge,7,6,15,16,0,00100001,00000000
40,72,blt,31,0,14,0,0,01000010,00000100
56,72,bge,30,15,14,15,0,10000100,00000001
40,72,blt,31,0,13,0,0,00001000,00001000
56,72,bge,30,15,14,13,1,00010000,00000010
20,92,bge,7,6,16,16,1,00100001,00000000
40,24,blt,5,9,1,20,1,01000011,00010000
40,24,blt,5,9,2,20,1,10000111,00100001
40,24,blt,5,9,3,20,1,00001111,01000011
40,24,blt,5,9,4,20,1,00011111,10000111
40,24,blt,5,9,5,20,1,00111111,00001111
40,24,blt,5,9,6,20,1,01111111,00011111
40,24,blt,5,9,7,20,1,11111111,00111111
40,24,blt,5,9,8,20,1,11111111,01111111
40,24,blt,5,9,9,20,1,11111111,11111111
40,24,blt,5,9,10,20,1,11111111,11111111
40,24,blt,5,9,11,20,1,11111111,11111111
40,24,blt,5,9,12,20,1,11111111,11111111
40,24,blt,5,9,13,20,1,11111111,11111111
40,24,blt,5,9,14,20,1,11111111,11111111
40,24,blt,5,9,15,20,1,11111111,11111111
40,24,blt,5,9,16,20,1,11111111,11111111
40,24,blt,5,9,17,20,1,11111111,11111111
40,24,blt,5,9,18,20,1,11111111,11111111
40,24,blt,5,9,19,20,1,11111111,11111111
40,24,blt,5,9,20,20,0,11111111,11111111
48,104,beq,9,0,18,0,0,11111110,00000000
60,68,blt,5,9,1,18,1,11111100,00000000
84,92,blt,28,7,2,1,0,11111001,00000000
60,68,blt,5,9,2,18,1,11110010,00000001
84,92,blt,28,7,3,2,0,11100101,00000000
60,68,blt,5,9,3,18,1,11001010,00000011
84,92,blt,28,7,4,3,0,10010101,00000000
60,68,blt,5,9,4,18,1,00101010,00000111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,18,1,10101010,00001111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,18,1,10101010,00011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,18,1,10101010,00111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,18,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,18,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,18,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,18,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,18,1,10101010,11111111
84,92,blt,28,7,13,12,0,01010101,00000000
60,68,blt,5,9,13,18,1,10101010,11111111
84,92,blt,28,7,14,13,0,01010101,00000000
60,68,blt,5,9,14,18,1,10101010,11111111
84,92,blt,28,7,15,14,0,01010101,00000000
60,68,blt,5,9,15,18,1,10101010,11111111
84,92,blt,28,7,16,15,0,01010101,00000000
60,68,blt,5,9,16,18,1,10101010,11111111
84,92,blt,28,7,17,16,0,01010101,00000000
60,68,blt,5,9,17,18,1,10101010,11111111
84,92,blt,28,7,18,17,0,01010101,00000000
60,68,blt,5,9,18,18,0,10101010,11111111
48,104,beq,9,0,17,0,0,01010100,00000000
60,68,blt,5,9,1,17,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,17,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,17,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,17,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,17,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,17,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,17,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,17,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,17,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,17,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,17,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,17,1,10101010,11111111
84,92,blt,28,7,13,12,0,01010101,00000000
60,68,blt,5,9,13,17,1,10101010,11111111
84,92,blt,28,7,14,13,0,01010101,00000000
60,68,blt,5,9,14,17,1,10101010,11111111
84,92,blt,28,7,15,14,0,01010101,00000000
60,68,blt,5,9,15,17,1,10101010,11111111
84,92,blt,28,7,16,15,0,01010101,00000000
60,68,blt,5,9,16,17,1,10101010,11111111
84,92,blt,28,7,17,16,0,01010101,00000000
60,68,blt,5,9,17,17,0,10101010,11111111
48,104,beq,9,0,16,0,0,01010100,00000000
60,68,blt,5,9,1,16,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,16,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,16,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,16,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,16,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,16,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,16,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,16,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,16,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,16,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,16,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,16,1,10101010,11111111
84,92,blt,28,7,13,12,0,01010101,00000000
60,68,blt,5,9,13,16,1,10101010,11111111
84,92,blt,28,7,14,13,0,01010101,00000000
60,68,blt,5,9,14,16,1,10101010,11111111
84,92,blt,28,7,15,14,0,01010101,00000000
60,68,blt,5,9,15,16,1,10101010,11111111
84,92,blt,28,7,16,15,0,01010101,00000000
60,68,blt,5,9,16,16,0,10101010,11111111
48,104,beq,9,0,15,0,0,01010100,00000000
60,68,blt,5,9,1,15,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,15,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,15,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,15,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,15,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,15,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,15,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,15,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,15,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,15,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,15,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,15,1,10101010,11111111
84,92,blt,28,7,13,12,0,01010101,00000000
60,68,blt,5,9,13,15,1,10101010,11111111
84,92,blt,28,7,14,13,0,01010101,00000000
60,68,blt,5,9,14,15,1,10101010,11111111
84,92,blt,28,7,15,14,0,01010101,00000000
60,68,blt,5,9,15,15,0,10101010,11111111
48,104,beq,9,0,14,0,0,01010100,00000000
60,68,blt,5,9,1,14,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,14,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,14,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,14,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,14,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,14,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,14,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,14,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,14,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,14,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,14,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,14,1,10101010,11111111
84,92,blt,28,7,13,12,0,01010101,00000000
60,68,blt,5,9,13,14,1,10101010,11111111
84,92,blt,28,7,14,13,0,01010101,00000000
60,68,blt,5,9,14,14,0,10101010,11111111
48,104,beq,9,0,13,0,0,01010100,00000000
60,68,blt,5,9,1,13,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,13,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,13,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,13,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,13,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,13,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,13,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,13,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,13,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,13,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,13,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,13,1,10101010,11111111
84,92,blt,28,7,13,12,0,01010101,00000000
60,68,blt,5,9,13,13,0,10101010,11111111
48,104,beq,9,0,12,0,0,01010100,00000000
60,68,blt,5,9,1,12,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,12,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,12,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,12,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,12,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,12,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,12,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,12,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,12,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,12,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,12,1,10101010,11111111
84,92,blt,28,7,12,11,0,01010101,00000000
60,68,blt,5,9,12,12,0,10101010,11111111
48,104,beq,9,0,11,0,0,01010100,00000000
60,68,blt,5,9,1,11,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,11,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,11,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,11,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,11,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,11,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,11,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,11,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,11,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,11,1,10101010,11111111
84,92,blt,28,7,11,10,0,01010101,00000000
60,68,blt,5,9,11,11,0,10101010,11111111
48,104,beq,9,0,10,0,0,01010100,00000000
60,68,blt,5,9,1,10,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,10,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,10,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,10,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,10,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,10,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,10,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,10,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,10,1,10101010,11111111
84,92,blt,28,7,10,9,0,01010101,00000000
60,68,blt,5,9,10,10,0,10101010,11111111
48,104,beq,9,0,9,0,0,01010100,00000000
60,68,blt,5,9,1,9,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,9,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,9,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,9,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,9,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,9,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,9,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,9,1,10101010,01111111
84,92,blt,28,7,9,8,0,01010101,00000000
60,68,blt,5,9,9,9,0,10101010,11111111
48,104,beq,9,0,8,0,0,01010100,00000000
60,68,blt,5,9,1,8,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,8,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,8,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,8,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,8,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,8,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,8,1,10101010,10111111
84,92,blt,28,7,8,7,0,01010101,00000000
60,68,blt,5,9,8,8,0,10101010,01111111
48,104,beq,9,0,7,0,0,01010100,00000000
60,68,blt,5,9,1,7,1,10101000,11111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,7,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,7,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,7,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,7,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,7,1,10101010,11011111
84,92,blt,28,7,7,6,0,01010101,00000000
60,68,blt,5,9,7,7,0,10101010,10111111
48,104,beq,9,0,6,0,0,01010100,00000000
60,68,blt,5,9,1,6,1,10101000,01111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,6,1,10100010,11111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,6,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,6,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,6,1,10101010,11101111
84,92,blt,28,7,6,5,0,01010101,00000000
60,68,blt,5,9,6,6,0,10101010,11011111
48,104,beq,9,0,5,0,0,01010100,00000000
60,68,blt,5,9,1,5,1,10101000,10111110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,5,1,10100010,01111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,5,1,10001010,11111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,5,1,00101010,11110111
84,92,blt,28,7,5,4,0,01010101,00000000
60,68,blt,5,9,5,5,0,10101010,11101111
48,104,beq,9,0,4,0,0,01010100,00000000
60,68,blt,5,9,1,4,1,10101000,11011110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,4,1,10100010,10111101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,4,1,10001010,01111011
84,92,blt,28,7,4,3,0,00010101,00000000
60,68,blt,5,9,4,4,0,00101010,11110111
48,104,beq,9,0,3,0,0,01010100,00000000
60,68,blt,5,9,1,3,1,10101000,11101110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,3,1,10100010,11011101
84,92,blt,28,7,3,2,0,01000101,00000000
60,68,blt,5,9,3,3,0,10001010,10111011
48,104,beq,9,0,2,0,0,00010100,00000000
60,68,blt,5,9,1,2,1,00101000,01110110
84,92,blt,28,7,2,1,0,01010001,00000000
60,68,blt,5,9,2,2,0,10100010,11101101
48,104,beq,9,0,1,0,0,01000100,00000000
60,68,blt,5,9,1,1,0,10001000,11011010
48,104,beq,9,0,0,0,1,00010000,00000000
20,40,beq,5,10,0,10,0,00100001,00000000
20,40,beq,5,10,1,10,0,01000010,00000000
20,40,beq,5,10,2,10,0,10000100,00000000
20,40,beq,5,10,3,10,0,00001000,00000000
20,40,beq,5,10,4,10,0,00010000,00000000
20,40,beq,5,10,5,10,0,00100000,00000000
20,40,beq,5,10,6,10,0,01000000,00000000
20,40,beq,5,10,7,10,0,10000000,00000000
20,40,beq,5,10,8,10,0,00000000,00000000
20,40,beq,5,10,9,10,0,00000000,00000000
20,40,beq,5,10,10,10,1,00000000,00000000
96,248,beq,7,29,0,1,0,00000001,00000000
144,72,bne,23,0,0,0,0,00000010,00000000
176,72,beq,6,11,1,-1,0,00000100,00000000
196,240,bne,28,0,0,0,0,00001000,00000000
176,72,beq,6,11,2,-1,0,00010000,00000000
196,240,bne,28,0,0,0,0,00100000,00000000
176,72,beq,6,11,-1,-1,1,01000000,00000000
96,248,beq,7,29,1,3,0,10000001,00000000
144,72,bne,23,0,0,0,0,00000010,00000000
176,72,beq,6,11,2,-1,0,00000100,00000001
196,240,bne,28,0,0,0,0,00001000,00000000
176,72,beq,6,11,-1,-1,1,00010000,00000010
96,248,beq,7,29,2,4,0,00100001,00000000
144,72,bne,23,0,0,0,0,01000010,00000000
176,72,beq,6,11,-1,-1,1,10000100,00000101
96,248,beq,7,29,3,4,0,00001001,00000000
144,72,bne,23,0,1,0,1,00010010,00000000
96,248,beq,7,29,4,4,1,00100101,00000000
52,36,blt,5,6,1,16,1,01001011,00000000
52,36,blt,5,6,2,16,1,10010111,00000001
52,36,blt,5,6,3,16,1,00101111,00000011
52,36,blt,5,6,4,16,1,01011111,00000111
52,36,blt,5,6,5,16,1,10111111,00001111
52,36,blt,5,6,6,16,1,01111111,00011111
52,36,blt,5,6,7,16,1,11111111,00111111
52,36,blt,5,6,8,16,1,11111111,01111111
